id,x,y
154,486.101593018,223.304931641
155,512.327819824,280.369140625
156,588.6875,298.552001953
157,637.14239502,357.949951172
158,718.467346191,460.875732422
159,765.911804199,494.332519531
160,816.676452637,543.171630859
161,825.051269531,591.05456543
162,840.18359375,607.947143555
163,872.016113281,639.461914062
164,902.653320312,701.731445312
165,912.661499023,753.099121094
166,976.565124512,805.785522461
167,1022.47564697,853.938232422
168,1061.8692627,1021.24865723
169,1089.43652344,924.334716797
170,1112.90869141,1087.0748291
171,1173.39404297,1057.15637207
172,1219.9354248,1138.39709473
173,1259.34753418,1164.53515625
174,1294.14196777,1217.14782715
175,1336.64807129,1232.57092285
176,1382.96594238,1319.21008301
177,1427.97399902,1375.48925781
178,1464.48266602,1422.15783691
179,1483.24279785,1459.24682617
180,1516.90454102,1514.3404541
181,1563.31384277,1551.51330566
182,1629.87548828,1593.16699219
183,1683.05712891,1634.64764404
184,1727.3737793,1697.85247803
185,1758.46337891,1768.7520752
186,1791.84716797,1804.61608887
187,1836.95214844,1871.96948242
188,1873.57946777,1928.5246582
189,1942.23449707,1982.0916748
190,1982.94934082,2035.48376465
191,2010.30322266,2071.83319092
192,2020.03442383,2140.66699219
193,2080.69580078,2182.43206787
194,2097.58544922,2238.06906128
195,2112.19482422,2285.80130005
196,2148.09960938,2307.31762695
197,2159.2434082,2341.29519653
198,2222.24487305,2332.91833496
199,2247.90283203,2281.30917358
200,2281.59570312,2205.59375
201,2302.20727539,2109.44873047
202,2320.47045898,1934.42785645
203,2331.26782227,1867.67474365
204,2335.77319336,1810.45410156
205,2364.01855469,1745.34912109
206,2362.05200195,1674.34759521
207,2371.83056641,1602.21704102
208,2391.83789062,1543.10583496
209,2402.81347656,1482.43432617
210,2363.45556641,1408.25256348
211,2328.62548828,1293.34387207
212,2352.21850586,1288.17358398
213,882.967407227,324.110839844
214,778.740234375,1311.00695801
215,1017.56671143,1331.46350098
216,2527.48974609,1740.28179932
217,900.472106934,312.822753906
218,233.402297974,1236.46594238
219,1984.67504883,814.179443359
220,1861.39257812,831.660400391
221,1770.70898438,875.502563477
222,1684.04187012,920.335327148
223,1618.17297363,1094.8067627
224,1510.42102051,984.055419922
225,1403.81652832,1128.22741699
226,1344.56567383,1149.80090332
227,1238.55273438,1114.10339355
228,1205.39172363,1109.92089844
229,1171.96032715,1167.14050293
230,1127.29284668,1206.35974121
231,1045.72045898,1136.38049316
232,961.548217773,999.606567383
233,904.357421875,1076.86779785
234,826.545043945,1053.25646973
235,782.980773926,1070.06799316
236,721.050476074,947.315917969
237,725.233947754,1109.61047363
238,810.792541504,1227.18322754
239,863.298522949,1289.95324707
240,902.717102051,1383.19250488
241,1025.48803711,1454.05517578
242,1029.19396973,1584.94769287
243,1030.33874512,1611.38922119
244,1156.17858887,1597.47705078
245,1175.31152344,1582.96099854
246,1190.57397461,1564.43225098
247,1238.84594727,1629.8326416
248,1299.9901123,1700.93414307
249,1340.65014648,1748.95587158
250,1364.19543457,1785.84655762
251,1347.94482422,1824.58880615
252,1277.93530273,1839.91278076
253,1226.03100586,1849.70526123
254,1208.72106934,1864.78253174
255,1188.99182129,1868.85552979
256,1164.35656738,1868.11981201
257,1111.67333984,1872.05065918
258,1031.86157227,1862.64025879
259,949.694396973,1832.58343506
260,882.808410645,1786.847229
261,820.824523926,1723.66589355
262,776.915466309,1665.41424561
263,740.875610352,1622.0256958
264,722.738220215,1580.21533203
265,707.63482666,1548.04504395
266,694.91217041,1511.44506836
267,678.118164062,1461.17980957
268,670.398864746,1402.0246582
269,671.739807129,1224.75305176
270,157.710739136,290.575683594
271,401.651275635,-190.231201172
272,667.016052246,1031.4510498
273,689.392150879,831.057617188
274,707.954589844,762.32800293
275,738.040527344,687.505249023
276,780.792297363,627.897583008
277,824.1015625,565.876708984
278,883.068359375,508.547363281
279,952.296447754,462.902587891
280,1013.67877197,435.215820312
281,1092.41271973,407.459716797
282,1171.53686523,387.314697266
283,1210.36352539,396.723876953
284,1254.24755859,430.093994141
285,1282.58618164,491.521972656
286,1294.74182129,534.387207031
287,1313.43518066,581.043579102
288,1334.68701172,628.043457031
289,1335.21875,692.067749023
290,1344.21594238,786.750488281
291,962.418945312,1802.39306641
292,1250.98937988,909.966308594
293,894.896728516,1351.05847168
294,921.502624512,3609.7835083
295,1419.1784668,1392.76513672
296,1417.73876953,1478.91699219
297,1439.36206055,1557.97290039
298,1467.30029297,1605.49737549
299,1353.2220459,1607.6416626
300,1541.9251709,1687.96337891
301,982.348266602,1618.79547119
302,627.452270508,1697.23309326
303,1712.40771484,1859.81359863
304,1782.74291992,1903.54425049
305,1816.65966797,1954.05377197
306,1805.46704102,2007.83441162
307,1772.78344727,2040.2668457
308,1749.92834473,2047.41741943
309,1704.15319824,2047.47686768
310,612.721801758,672.811889648
311,1517.70031738,2042.24688721
312,1448.71459961,2038.7565918
313,1355.94921875,2046.09210205
314,1264.64746094,2058.02246094
315,1168.63171387,2057.5199585
316,1118.13024902,2059.76293945
317,1139.39782715,2039.62658691
318,1162.12316895,1968.09429932
319,1124.35559082,1865.60668945
320,1006.090271,1739.02612305
321,806.518432617,1619.37402344
322,734.111877441,1400.73193359
323,595.272216797,1168.5802002
